# This File stores the CDE (Cluster Distribution Entropy) using the clustering >>ClosestCenters<< of the given TrajNameList
# >> Nr of Cluster vs Time <<
# >> normalized Nr of Cluster vs Time <<
# >> Entropy vs Time <<
# >> normalized Entropy vs Time <<
# elapsed time = 0.87 seconds
#  ThresholdList = [0.1, 0.15]
#  TrajNameList = ['Met_Amber1_stripped', 'Met_Amber2_stripped']
#  TrjLenList = [1000, 1000]
#  updated TrjLenList = [1000, 1000]
#  TimeStep = 1
#  StartFrame = 0
#  EndingFrame = 1000
#                   |             Threshold = 0.1                |r=0.15
#    Frame | TrajNr | NrClusts | normNrClusts | CDE | normCDE | ... 
# 
79 1   34 0.24 3.2006 0.9076   11 0.48 1.9308 0.8052
80 1   34 0.24 3.2105 0.9104   11 0.48 1.9273 0.8037
81 1   34 0.24 3.2203 0.9132   11 0.48 1.9346 0.8068
82 1   34 0.24 3.2300 0.9160   11 0.48 1.9387 0.8085
83 1   35 0.24 3.2561 0.9158   11 0.48 1.9460 0.8116
84 1   35 0.24 3.2655 0.9185   11 0.48 1.9489 0.8127
85 1   35 0.24 3.2748 0.9211   11 0.48 1.9453 0.8113
86 1   35 0.24 3.2779 0.9220   12 0.52 1.9857 0.7991
87 1   36 0.25 3.3028 0.9217   12 0.52 1.9755 0.7950
88 1   36 0.25 3.2897 0.9180   12 0.52 1.9653 0.7909
89 1   37 0.26 3.3142 0.9178   12 0.52 1.9891 0.8005
90 1   37 0.26 3.3004 0.9140   12 0.52 1.9789 0.7963
91 1   37 0.26 3.3038 0.9149   12 0.52 1.9686 0.7922
92 1   37 0.26 3.2953 0.9126   12 0.52 1.9708 0.7931
93 1   37 0.26 3.3044 0.9151   12 0.52 1.9608 0.7891
94 1   37 0.26 3.2995 0.9138   12 0.52 1.9668 0.7915
95 1   37 0.26 3.3086 0.9163   12 0.52 1.9728 0.7939
96 1   37 0.26 3.2956 0.9127   12 0.52 1.9631 0.7900
97 1   37 0.26 3.2822 0.9090   12 0.52 1.9534 0.7861
98 1   37 0.26 3.2684 0.9051   12 0.52 1.9437 0.7822
99 1   37 0.26 3.2778 0.9078   12 0.52 1.9611 0.7892
100 1   37 0.26 3.2820 0.9089   12 0.52 1.9662 0.7913
101 1   37 0.26 3.2741 0.9067   12 0.52 1.9725 0.7938
102 1   37 0.26 3.2836 0.9093   12 0.52 1.9861 0.7993
103 1   37 0.26 3.2878 0.9105   12 0.52 1.9972 0.8037
104 1   38 0.26 3.3103 0.9100   12 0.52 2.0021 0.8057
105 1   39 0.27 3.3325 0.9096   12 0.52 2.0059 0.8072
106 1   39 0.27 3.3333 0.9099   13 0.57 2.0401 0.7954
107 1   40 0.28 3.3550 0.9095   13 0.57 2.0310 0.7918
108 1   41 0.28 3.3764 0.9092   14 0.61 2.0645 0.7823
109 1   42 0.29 3.3975 0.9090   14 0.61 2.0802 0.7882
110 1   43 0.30 3.4183 0.9088   14 0.61 2.0926 0.7929
111 1   43 0.30 3.4264 0.9110   14 0.61 2.1125 0.8005
112 1   44 0.31 3.4467 0.9108   14 0.61 2.1206 0.8035
113 1   45 0.31 3.4668 0.9107   14 0.61 2.1247 0.8051
114 1   46 0.32 3.4865 0.9106   14 0.61 2.1262 0.8057
115 1   47 0.33 3.5060 0.9106   14 0.61 2.1271 0.8060
116 1   48 0.33 3.5253 0.9106   14 0.61 2.1303 0.8072
117 1   48 0.33 3.5281 0.9114   14 0.61 2.1284 0.8065
118 1   48 0.33 3.5353 0.9132   14 0.61 2.1349 0.8090
119 1   48 0.33 3.5301 0.9119   14 0.61 2.1327 0.8081
120 1   48 0.33 3.5302 0.9119   14 0.61 2.1360 0.8094
121 1   48 0.33 3.5332 0.9127   14 0.61 2.1365 0.8096
122 1   48 0.33 3.5313 0.9122   14 0.61 2.1392 0.8106
123 1   48 0.33 3.5344 0.9130   15 0.65 2.1688 0.8009
124 1   48 0.33 3.5327 0.9126   15 0.65 2.1828 0.8060
125 1   48 0.33 3.5331 0.9127   15 0.65 2.1844 0.8066
126 1   48 0.33 3.5403 0.9145   15 0.65 2.1868 0.8075
127 1   48 0.33 3.5434 0.9153   15 0.65 2.1885 0.8082
128 1   48 0.33 3.5439 0.9155   15 0.65 2.1896 0.8086
129 1   49 0.34 3.5618 0.9152   15 0.65 2.1902 0.8088
130 1   49 0.34 3.5622 0.9153   15 0.65 2.1902 0.8088
